序号,一级,二级,三级,功能点,功能说明,备注
1,客户资产,客户列表,,多条件客户搜索,按店铺与身份/订单/联系人等条件组合检索客户；店铺展示已选数量并通过「选择店铺」弹窗多选；性别默认不限；年龄/出生日期为区间；支持搜索/重置/收起,
2,客户资产,客户列表,,筛选区收起/展开,收起或展开筛选区以控制占用空间,展开后交互细节待确认
3,客户资产,客户列表,,客户结果列表,以表格浏览客户主数据；支持列设置、分页（默认每页20）、刷新；部分字段可为空,
4,客户资产,客户列表,,敏感字段脱敏展示,列表中对客户ID、手机号中间位以*遮罩,保留位数规则待确认
5,客户资产,客户列表,,全渠道客户ID跳转,点击蓝色全渠道客户ID打开「客户视图」大弹窗（遮罩列表页）,详见序号15起
6,客户资产,客户列表,,列表列配置,通过表头设置入口自定义表格展示列,可配项与是否持久化待确认
7,客户资产,客户列表,,列表分页与刷新,翻页浏览并手动刷新；默认每页20条,是否支持改每页条数/跳页待确认
8,客户资产,客户列表,,打开选择店铺弹窗,在客户列表点击店铺筛选项弹出「选择店铺」；可关闭并遮罩底层列表,
9,客户资产,客户列表,,全部店铺与已选店铺切换,弹窗内Tab切换「全部店铺」「已选店铺」；已选Tab红标显示已选数量,
10,客户资产,客户列表,,店铺条件筛选,按平台（默认全部平台）、店铺/微信类型、名称、线下区域过滤；支持查询/重置,
11,客户资产,客户列表,,全部店铺多选列表,在「全部店铺」中全选或逐行勾选；底部显示已选数量；空字段显示--,
12,客户资产,客户列表,,已选店铺管理,在「已选店铺」查看已选；支持移除当前页、移除全部、单行移除；与全部店铺共用筛选区,
13,客户资产,客户列表,,选择店铺分页与刷新,弹窗内翻页并刷新；显示总条数、页码、每页条数（如10条/页）,
14,客户资产,客户列表,,确认或取消店铺选择,确定后将已选店铺回填客户列表筛选条件；取消或关闭放弃,回填后列表侧展示形态待补截图
15,客户资产,客户列表,,打开客户视图弹窗,由全渠道客户ID进入「客户视图」；支持全屏与关闭；遮罩客户列表,入口同序号5
16,客户资产,客户列表,,客户基本信息展示与切换,展示客户ID与基础属性；可切换「最新基本信息」「我维护的信息」；状态标如「潜在客户」；手机号脱敏；空值显示-或未知,「我维护的信息」Tab内容待进页确认
17,客户资产,客户列表,,客户视图主Tab导航,在客户视图内切换：全渠道客户画像、会员视图、关联账号信息、客户动态、订单信息、商品评价、发放权益,
18,客户资产,客户列表,,全渠道客户画像子模块切换,画像Tab内左侧切换：RFM标签、自定义标签、企业微信标签、微盟标签,
19,客户资产,客户列表,,RFM标签查看,查看全渠道RFM指标卡与购买平台/店铺摘要；含平台RFM表、店铺RFM表；行可打开「详细指标」,
20,客户资产,客户列表,,RFM计算口径切换,下拉切换：基于所有有效交易 / 基于最近一年有效交易,
21,客户资产,客户列表,,RFM详细指标弹窗,由「详细指标」打开；展示最近一年等平台/店铺级RFM；说明含全渠道/平台/店铺级及商户自定义生命周期；可关闭,
22,客户资产,客户列表,,自定义标签查看,按标签组卡片展示已打标签；卡片可编辑；无数据组显示暂无数据,
23,客户资产,客户列表,,编辑全渠道客户标签,弹窗对单个客户打标：可同时新增、改标签值、关开关删除；可搜索标签组/标签并清空已编；确定/取消,
24,客户资产,客户列表,,企业微信标签查看,在画像子菜单查看企业微信标签；无数据时空态,
